Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,1753,223,847
-45,1753,223,847
-44,1893,223,855
-43,5791,832,3112
-42,11746,2238,7084
-41,16330,3880,10846
-40,23889,5705,15680
-39,27988,7129,19210
-38,28025,7144,19240
-37,28025,7144,19240
-36,37642,9526,24921
-35,43998,12113,31088
-34,50866,14223,36239
-33,60157,16977,42673
-32,67011,20424,49434
-31,67011,20424,49434
-30,67011,20424,49434
-29,78110,25124,57862
-28,86856,28910,66389
-27,96423,32761,74237
-26,105682,37184,82607
-25,113927,41398,90582
-24,114174,41454,90698
-23,114174,41454,90698
-22,121736,45252,97540
-21,131678,50507,107224
-20,142048,54994,115961
-19,156095,62223,129043
-18,174605,72106,146555
-17,174608,72108,146561
-16,174608,72108,146561
-15,193616,81913,163767
-14,211078,90978,180588
-13,228260,100256,196707
-12,246652,110053,213415
-11,267070,122726,233974
-10,279577,128742,244068
-9,280759,128748,244088
-8,304346,141006,265182
-7,330392,157911,290845
-6,354580,172405,313505
-5,374405,185602,332938
-4,401872,204092,359363
-3,421183,215952,376942
-2,438999,226711,393021
-1,474576,250563,426541
0,481856,264080,437449
1,481858,264084,437454
2,481858,264084,437454
3,481858,264084,437454
