Days out from election,Dem,GOP,Other
-48,0,1,0
-47,0,1,0
-46,0,3,1
-45,0,3,1
-44,0,3,1
-43,23,32,23
-42,44,47,35
-41,61,61,41
-40,126,76,79
-39,154,93,102
-38,154,93,102
-37,154,93,102
-36,182,112,117
-35,203,127,124
-34,222,133,137
-33,233,148,142
-32,251,171,147
-31,251,171,147
-30,264,171,150
-29,296,299,213
-28,399,507,348
-27,461,619,428
-26,515,729,518
-25,591,1005,664
-24,591,1013,667
-23,600,1080,715
-22,625,1123,736
-21,3357,4397,3825
-20,7264,13297,11816
-19,12144,27383,22450
-18,17600,39891,31556
-17,19931,41151,33337
-16,19966,41178,33374
-15,26515,59505,45064
-14,32913,72799,55706
-13,39038,89003,67412
-12,43774,101952,76325
-11,47374,112785,83098
-10,48586,115953,85841
-9,48602,116236,85925
-8,54349,131397,95674
-7,59322,143419,104636
-6,64014,154593,112568
-5,67626,164541,119531
-4,71506,175421,126404
-3,73195,178328,128972
-2,73247,178540,129155
-1,79417,194095,140203
0,87765,212535,153021
1,88119,213470,153683
2,88119,213470,153683
3,88119,213470,153683
