Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,1
-46,1,0,2
-45,1,0,5
-44,1,0,5
-43,1,0,17
-42,3,1,25
-41,3,1,32
-40,6,1,50
-39,7,1,69
-38,7,1,69
-37,7,1,69
-36,27,9,156
-35,330,30,253
-34,3615,225,708
-33,16482,1967,3900
-32,34474,5898,8664
-31,36888,7417,11483
-30,37277,8705,13185
-29,67295,12472,27703
-28,91842,21415,36653
-27,118749,27540,47967
-26,131064,35836,58141
-25,149572,41770,68291
-24,159517,43681,71482
-23,159774,44920,73443
-22,174834,54546,81146
-21,195384,60465,95899
-20,213265,68014,105947
-19,233321,74584,117939
-18,256690,82194,129945
-17,261940,83981,132759
-16,264839,85511,134955
-15,292740,96584,152360
-14,306416,105183,167985
-13,326513,115180,183929
-12,345022,125594,199320
-11,363070,135402,215189
-10,371562,137378,220117
-9,374243,138993,222099
-8,392192,153681,241072
-7,409380,164070,259653
-6,429386,176762,276892
-5,449325,189715,293273
-4,469215,202363,311611
-3,479566,205678,316473
-2,482599,208609,319803
-1,506116,224241,349894
0,533672,231423,363896
1,534036,239153,370166
2,534132,248641,370212
3,534208,248641,370220
