Days out from election,Dem,GOP,Other
-48,0,0,0
-47,1,0,0
-46,1,0,1
-45,4,0,1
-44,4,0,1
-43,10,6,1
-42,14,10,1
-41,16,15,1
-40,23,25,2
-39,36,31,2
-38,36,31,2
-37,36,31,2
-36,65,83,8
-35,107,135,11
-34,307,373,28
-33,2008,1728,164
-32,4570,3749,345
-31,6168,4860,455
-30,7210,5447,528
-29,14841,11789,1073
-28,19163,16044,1446
-27,25036,21044,1887
-26,30120,25703,2318
-25,35058,30502,2731
-24,36968,31658,2856
-23,38200,32309,2934
-22,42703,35189,3254
-21,49490,42529,3880
-20,54087,47551,4309
-19,59774,53347,4818
-18,65194,59463,5288
-17,66696,60646,5417
-16,68048,61395,5512
-15,75190,70899,6271
-14,81212,79888,6885
-13,87217,89232,7480
-12,92943,98347,8030
-11,98725,107764,8700
-10,101317,109883,8917
-9,102519,110578,9002
-8,109383,121918,9771
-7,116327,132811,10515
-6,122725,142959,11208
-5,128598,152813,11862
-4,135110,163843,12658
-3,137642,165949,12882
-2,139487,167286,13030
-1,150265,185171,14458
0,154317,194451,15128
1,158153,196592,15421
2,158179,196610,15423
3,158182,196615,15423
