Days out from election,Dem,GOP,Other
-48,1,1,0
-47,1,1,0
-46,1,1,0
-45,8,2,0
-44,24,4,1
-43,41,10,3
-42,79,23,6
-41,103,32,11
-40,134,53,14
-39,152,65,19
-38,168,68,20
-37,188,69,20
-36,230,112,24
-35,280,183,25
-34,329,278,38
-33,400,435,50
-32,505,634,66
-31,520,641,69
-30,544,674,72
-29,770,1324,127
-28,1025,1942,171
-27,1527,2996,239
-26,1880,3799,297
-25,2273,4663,342
-24,2290,4671,343
-23,2307,4676,345
-22,3267,5586,516
-21,6494,8340,1070
-20,10090,11756,1747
-19,14753,15819,2589
-18,17188,18241,3111
-17,70363,67654,13207
-16,82100,80346,15444
-15,109873,117015,21232
-14,139113,150884,27484
-13,164520,180443,33249
-12,187515,208327,38591
-11,209754,235684,44021
-10,231466,257045,49183
-9,244148,268913,52201
-8,270563,298746,59121
-7,301241,328720,66985
-6,330303,356186,74746
-5,357981,383102,82900
-4,401275,419066,94959
-3,407080,422633,96560
-2,407533,422882,96661
-1,416821,429501,99571
0,521418,496199,133545
1,537247,504247,138600
2,538324,504823,138986
3,538338,504828,138987
