Days out from election,Dem,GOP,Other
-48,0,0,0
-47,3,0,0
-46,3,0,0
-45,3,0,0
-44,3,0,0
-43,17,5,1
-42,27,6,1
-41,43,8,1
-40,61,11,1
-39,81,20,1
-38,82,21,1
-37,82,21,1
-36,245,63,6
-35,365,129,16
-34,587,288,33
-33,987,651,80
-32,1460,1028,128
-31,1486,1039,132
-30,1487,1039,132
-29,3156,2098,262
-28,4738,3202,372
-27,6024,4185,468
-26,7196,5006,572
-25,8672,6002,679
-24,8747,6024,681
-23,8750,6025,681
-22,8929,6136,693
-21,12342,8456,983
-20,14373,9863,1165
-19,16489,11381,1349
-18,18197,12397,1513
-17,18276,12416,1519
-16,18286,12422,1520
-15,21416,14677,1807
-14,23714,16432,2067
-13,25836,17935,2264
-12,28167,19698,2493
-11,30013,21167,2676
-10,30137,21243,2686
-9,30154,21258,2688
-8,33793,24022,3013
-7,36568,26100,3326
-6,38813,27945,3614
-5,41120,29711,3858
-4,43374,31388,4134
-3,43534,31454,4146
-2,43609,31514,4155
-1,47275,33921,4590
0,47275,33921,4590
1,47275,33921,4590
2,47275,33921,4590
3,47275,33921,4590
