Days out from election,2020,2022,2024
-48,733,5,180
-47,1063,37,427
-46,1591,57,888
-45,2752,68,1025
-44,3299,87,1142
-43,6205,269,3885
-42,9823,1159,7486
-41,12705,2913,21244
-40,17004,7361,36799
-39,25068,15051,54215
-38,31304,15749,56280
-37,32693,16065,56736
-36,57275,34497,100946
-35,92236,54955,123315
-34,136877,75339,154865
-33,191418,94154,179664
-32,241841,113049,206596
-31,284754,116535,211557
-30,303637,116883,212525
-29,370175,118870,252975
-28,459218,159347,272126
-27,572300,183983,297585
-26,670392,208199,318881
-25,788062,222669,337974
-24,880260,229447,343630
-23,922004,229966,345241
-22,1012292,258573,352881
-21,1104247,271156,389387
-20,1250847,290567,407926
-19,1388594,303380,438080
-18,1516601,318307,459088
-17,1604343,322924,464361
-16,1653950,323428,465167
-15,1762691,346138,497780
-14,1913410,358526,520812
-13,2040367,371892,542091
-12,2168138,385204,561696
-11,2276144,400056,580659
-10,2364437,410116,592700
-9,2408928,413153,600096
-8,2514432,432597,627766
-7,2651262,444384,651989
-6,2816719,462537,678298
-5,2967535,476696,700337
-4,3078145,491940,720006
-3,3199782,506305,736118
-2,3269249,509779,746107
-1,3418053,533589,773499
0,3862048,566717,793315
1,3958022,574152,793315
2,4029772,574152,793315
3,4047416,574152,793315
