Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,1
-46,0,0,16
-45,15,2,27
-44,19,5,29
-43,104,42,70
-42,238,64,102
-41,329,68,277
-40,475,75,471
-39,553,77,647
-38,562,77,650
-37,567,77,652
-36,740,106,752
-35,851,123,779
-34,931,137,822
-33,1004,138,854
-32,1074,160,934
-31,1124,161,1015
-30,1126,161,1017
-29,1254,179,1136
-28,10279,5401,13497
-27,19963,9946,23553
-26,31408,14089,32587
-25,46943,19285,44654
-24,47400,19318,44701
-23,47474,19319,44883
-22,70964,27285,47373
-21,97108,36077,66117
-20,141910,44909,83594
-19,183063,53257,99934
-18,215058,62138,114668
-17,266089,81793,150629
-16,266090,81888,150694
-15,322105,104263,191077
-14,380739,134453,240255
-13,438162,161249,280672
-12,484198,184925,318031
-11,530583,212032,357063
-10,559554,229789,382919
-9,559618,229916,382976
-8,589079,253658,416186
-7,617531,282803,456050
-6,655969,313159,492368
-5,692440,343695,523521
-4,732106,384456,569120
-3,762076,424807,612071
-2,764400,427040,612997
-1,767149,430777,615838
0,767150,437527,618937
1,767150,437950,620506
2,767150,437950,620537
3,767150,437950,620537
