Days out from election,Dem,GOP,Other
-48,0,0,0
-47,1,0,0
-46,7,8,1
-45,12,13,2
-44,13,14,2
-43,33,33,4
-42,54,42,6
-41,182,78,17
-40,325,120,26
-39,455,161,31
-38,457,162,31
-37,458,163,31
-36,518,200,34
-35,529,213,37
-34,555,226,41
-33,578,233,43
-32,624,265,45
-31,686,281,48
-30,686,283,48
-29,773,310,53
-28,7129,6092,276
-27,12336,10734,483
-26,16975,14945,667
-25,23680,20040,934
-24,23707,20058,936
-23,23874,20071,938
-22,24833,21563,977
-21,35871,28815,1431
-20,46218,35501,1875
-19,55661,41960,2313
-18,63973,48014,2681
-17,82986,63943,3700
-16,83027,63962,3705
-15,104252,82036,4789
-14,130912,103100,6243
-13,152197,121101,7374
-12,171597,137896,8538
-11,191165,156023,9875
-10,204501,167615,10803
-9,204533,167636,10807
-8,221236,182949,12001
-7,241568,200992,13490
-6,260369,217092,14907
-5,275955,231329,16237
-4,298996,251937,18187
-3,321377,270605,20089
-2,322024,270851,20122
-1,323838,271753,20247
0,325866,272664,20407
1,326958,273066,20482
2,326975,273080,20482
3,326975,273080,20482
