Days out from election,2020,2022,2024
-48,672,132,68
-47,780,145,83
-46,1047,185,185
-45,1053,185,185
-44,1054,185,185
-43,1475,348,557
-42,1930,471,1001
-41,5643,784,1813
-40,8614,1599,2975
-39,11657,3091,5677
-38,11691,3092,5776
-37,11693,3092,5778
-36,26958,6694,14141
-35,32738,9086,17495
-34,54093,11765,27027
-33,72229,15091,42166
-32,95917,20393,56023
-31,97645,20393,59559
-30,97649,20393,59577
-29,138033,20630,92328
-28,160641,35962,104349
-27,189828,43945,130672
-26,220339,58300,156983
-25,255967,75176,177187
-24,276798,75180,187197
-23,276833,75327,187325
-22,281123,98029,189397
-21,335386,110863,217784
-20,373851,127596,233436
-19,426649,140020,272934
-18,470866,153372,300908
-17,493590,154582,314606
-16,493762,154582,315595
-15,539359,174028,356507
-14,566608,182599,376144
-13,603415,199289,406269
-12,639171,213562,435000
-11,669266,226388,463140
-10,801508,335302,819637
-9,947599,457984,1158350
-8,1167483,572333,1505502
-7,1415637,674682,1862011
-6,1649726,824066,2150369
-5,1853394,924585,2434687
-4,2076394,1047370,2755336
-3,2212253,1201110,3085226
-2,2571416,1371043,3439580
-1,2591982,1440308,3457022
0,3204308,1440385,3459532
1,3216058,1440385,3459918
2,3219208,1440385,3459918
3,3219897,1440385,3459920
