Days out from election,Dem,GOP,Other
-48,43,23,2
-47,44,36,3
-46,86,92,7
-45,86,92,7
-44,86,92,7
-43,281,249,27
-42,562,392,47
-41,990,740,83
-40,1641,1188,146
-39,3281,2090,306
-38,3340,2122,314
-37,3340,2124,314
-36,8355,5018,768
-35,10556,6006,933
-34,16469,9091,1467
-33,26544,13396,2226
-32,35879,17201,2943
-31,38641,17852,3066
-30,38649,17861,3067
-29,61534,26185,4609
-28,69703,29346,5300
-27,87728,36131,6813
-26,105108,43382,8493
-25,117953,49292,9942
-24,125471,51237,10489
-23,125588,51247,10490
-22,126784,52003,10610
-21,143945,61008,12831
-20,154623,65002,13811
-19,180900,75357,16677
-18,199043,83202,18663
-17,209230,85850,19526
-16,209773,86079,19743
-15,235913,97911,22683
-14,249126,102935,24083
-13,268005,111796,26468
-12,286726,119694,28580
-11,303784,128527,30829
-10,528720,237358,53559
-9,733021,348979,76350
-8,938292,464159,103051
-7,1141405,591793,128813
-6,1316528,683787,150054
-5,1490131,774054,170502
-4,1687093,872173,196070
-3,1886789,975608,222829
-2,2107673,1079657,252250
-1,2114542,1086652,255828
0,2116238,1087272,256022
1,2116493,1087366,256059
2,2116493,1087366,256059
3,2116495,1087366,256059
