Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,80,41,11
-45,233,68,20
-44,390,101,28
-43,949,301,86
-42,1434,491,137
-41,2218,585,280
-40,2464,733,296
-39,2860,903,345
-38,3198,1007,388
-37,3294,1040,397
-36,4575,2128,532
-35,5630,3061,660
-34,7495,4372,926
-33,9840,6229,1357
-32,11896,8018,1689
-31,12545,8394,1886
-30,12677,8456,1893
-29,16178,11395,2477
-28,18459,13475,2792
-27,21108,15558,3316
-26,23524,17894,3555
-25,27132,20332,4392
-24,28702,21373,4699
-23,28897,21477,4720
-22,30976,23369,4986
-21,33499,25680,5274
-20,35746,27600,5528
-19,205852,196043,26292
-18,359686,361328,47670
-17,442324,436131,59038
-16,484651,462319,65704
-15,639897,627359,87053
-14,779118,781581,107614
-13,905194,926115,127459
-12,1026459,1061941,147526
-11,1148481,1202688,168484
-10,1214778,1263093,179501
-9,1255627,1291487,186680
-8,1374972,1423901,206872
-7,1484873,1543580,226350
-6,1593075,1655163,246153
-5,1693816,1758687,264853
-4,1829259,1894097,290323
-3,1944495,1994298,311265
-2,1946058,1995425,311540
-1,1953245,1999972,312991
0,1957307,2003021,313617
1,1957308,2003022,313617
2,1957308,2003025,313617
3,1957309,2003029,313617
