Days out from election,2020,2022,2024
-48,150,1,0
-47,162,2,0
-46,173,11,2
-45,179,12,2
-44,179,13,2
-43,195,21,18
-42,229,24,30
-41,281,36,54
-40,361,45,77
-39,478,71,186
-38,514,72,186
-37,515,72,186
-36,965,180,361
-35,1307,242,460
-34,1649,288,661
-33,2165,359,851
-32,2646,443,1101
-31,2835,450,1103
-30,2835,450,1104
-29,3680,494,1609
-28,53373,649,61714
-27,103986,19510,112736
-26,165944,35588,165776
-25,263444,54275,241591
-24,301613,54430,247717
-23,320842,54483,248311
-22,426600,97416,329364
-21,571834,149608,444343
-20,720941,228369,539283
-19,904151,305737,661306
-18,1094242,369535,809795
-17,1189359,387922,835881
-16,1217266,387988,837016
-15,1432301,480664,990168
-14,1592388,555374,1104039
-13,1772453,632597,1235924
-12,1950140,700781,1354185
-11,2115970,767172,1476632
-10,2244536,821994,1577082
-9,2320563,823443,1618970
-8,2472625,907641,1755763
-7,2612070,975891,1872507
-6,2769149,1053906,1991416
-5,2913326,1128682,2107024
-4,3060178,1210384,2242233
-3,3170293,1269261,2338763
-2,3233366,1302491,2402032
-1,3325469,1378531,2427631
0,3362093,1425106,2460334
1,3363890,1431856,2463591
2,3364100,1436236,2463591
3,3364100,1436683,2463598
