Days out from election,Dem,GOP,Other
-48,22,34,3
-47,34,55,4
-46,73,140,11
-45,73,140,12
-44,74,142,12
-43,163,309,23
-42,224,405,27
-41,324,597,34
-40,468,862,55
-39,599,1120,73
-38,602,1121,73
-37,602,1122,73
-36,1001,1883,128
-35,1149,2086,141
-34,1540,2681,161
-33,1927,3335,196
-32,2497,4196,240
-31,2497,4196,240
-30,2504,4204,241
-29,4109,6513,373
-28,4501,7071,399
-27,5767,8913,500
-26,6973,10828,576
-25,8253,12698,673
-24,8264,12716,677
-23,8264,12716,677
-22,8330,12801,684
-21,10518,16359,883
-20,11456,17533,951
-19,13693,20843,1105
-18,15352,23496,1246
-17,15380,23551,1250
-16,15381,23551,1250
-15,17894,27696,1495
-14,20045,30791,1680
-13,21043,32231,1784
-12,22788,35148,1961
-11,24887,38435,2182
-10,24935,38522,2186
-9,24939,38527,2186
-8,28622,44136,2628
-7,29771,45810,2754
-6,32548,49719,3074
-5,33513,51377,3219
-4,35926,54531,3557
-3,36832,55630,3704
-2,36834,55635,3705
-1,38488,57501,3935
0,39596,58619,4092
1,39621,58655,4097
2,39621,58655,4097
3,39621,58655,4097
