Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,4,0
-45,0,4,0
-44,0,4,0
-43,3016,818,1339
-42,3158,860,1356
-41,3358,933,1371
-40,3510,980,1384
-39,3729,1030,1392
-38,3730,1030,1392
-37,3733,1030,1392
-36,3994,1075,1446
-35,4205,1122,1453
-34,4385,1152,1458
-33,5829,1437,1543
-32,5969,1483,1566
-31,5970,1483,1566
-30,5970,1483,1566
-29,6501,1858,1641
-28,6926,1969,1662
-27,7287,2117,1686
-26,7611,2205,1748
-25,8199,2353,1786
-24,8199,2353,1786
-23,8202,2355,1786
-22,8424,2398,1790
-21,8800,2549,1817
-20,9826,2875,1989
-19,10261,3059,2013
-18,12051,4571,2346
-17,12832,5194,2442
-16,13900,5927,2565
-15,53702,36356,10955
-14,85357,63384,17368
-13,148148,115110,29158
-12,212398,166644,47339
-11,271008,214798,61619
-10,296226,227353,63767
-9,298882,230994,64353
-8,401732,309408,90865
-7,471621,356356,105765
-6,549786,413020,124316
-5,610532,453193,138363
-4,669977,494757,152312
-3,716412,515488,160216
-2,736172,525560,162818
-1,884070,614876,197057
0,1105456,721943,250071
1,1105588,722112,250128
2,1105588,722112,250128
3,1105588,722112,250128
