Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,3
-35,0,0,3
-34,0,0,3
-33,0,0,3
-32,0,0,4
-31,0,0,4
-30,0,0,5
-29,0,0,6
-28,0,0,8
-27,0,0,413
-26,0,0,415
-25,0,0,417
-24,0,0,418
-23,0,0,670
-22,0,0,819
-21,0,0,914
-20,2053,0,1005
-19,2094,0,1052
-18,2394,0,5597
-17,2394,0,5741
-16,2394,0,5813
-15,2394,0,10064
-14,21023,0,12245
-13,21023,0,15435
-12,41288,0,25208
-11,69289,0,25348
-10,69289,0,25535
-9,69289,0,25594
-8,77931,0,33422
-7,78039,0,39664
-6,90284,0,39829
-5,90452,0,39829
-4,90903,0,39829
-3,90903,0,39829
-2,90903,0,39829
-1,91695,0,39829
0,91695,0,151203
1,91695,0,151203
2,99204,0,151203
3,99204,0,151203
