Days out from election,2020,2022,2024
-48,57,0,1
-47,119,6,1
-46,211,22,335
-45,250,30,660
-44,318,33,880
-43,555,178,1112
-42,1557,214,1522
-41,2038,247,1690
-40,2570,270,1833
-39,2935,299,1930
-38,2993,304,1979
-37,3046,305,2021
-36,4354,359,2182
-35,5929,375,2288
-34,8471,412,2395
-33,12635,460,2537
-32,17218,492,2691
-31,19164,494,2730
-30,19211,500,2787
-29,47783,584,3512
-28,74529,725,3940
-27,107114,962,5223
-26,140709,2110,6283
-25,177915,3741,8526
-24,185666,3743,8689
-23,185785,3745,8773
-22,227365,7860,10642
-21,287432,10204,19188
-20,348924,13419,22826
-19,408362,16147,30654
-18,472421,18517,37374
-17,482030,18520,38184
-16,482769,18533,38223
-15,562377,23858,1515731
-14,629267,26615,1519886
-13,696698,30031,1525839
-12,761165,33741,1532262
-11,828598,36370,1537319
-10,845083,37464,1539711
-9,845162,37468,1539767
-8,917131,40765,1546188
-7,989151,43730,1550427
-6,1061577,46862,1555264
-5,1134744,49624,1559007
-4,1212371,51832,1562975
-3,1249456,601134,1566239
-2,1249636,601140,1566520
-1,1249636,601277,1567426
0,1249636,601277,1567426
1,1249636,601277,1567426
2,1249636,601277,1567426
3,1249636,601277,1567426
