Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,1799,980,1263
-45,1799,980,1263
-44,1801,980,1263
-43,6270,2033,3218
-42,13160,3080,5123
-41,19756,4096,7051
-40,26010,5110,8846
-39,33032,6300,10470
-38,33125,6301,10470
-37,33133,6302,10470
-36,42097,7978,12848
-35,48632,9287,14892
-34,53713,10400,17159
-33,59666,11748,19410
-32,65195,13352,21480
-31,65197,13370,21480
-30,65251,13372,21480
-29,73066,13396,25107
-28,77704,16069,28260
-27,82318,18223,31489
-26,87554,20074,34723
-25,93543,22678,37507
-24,93543,22681,37507
-23,93564,22685,37508
-22,94672,25916,38054
-21,103594,28608,44354
-20,109687,31027,49402
-19,115330,33570,53955
-18,121277,37142,58111
-17,121294,37200,58116
-16,121318,37382,58117
-15,128691,41745,65214
-14,135650,45819,71321
-13,141010,49572,77380
-12,146484,53225,83411
-11,153085,58345,89717
-10,153452,58372,89724
-9,153452,58511,89765
-8,161961,63646,98221
-7,169681,67967,106027
-6,177527,72553,114137
-5,186198,77778,122535
-4,197415,85639,130544
-3,197892,85679,130840
-2,197968,85685,130849
-1,209299,95106,143435
0,210867,95106,143435
1,210867,95106,143435
2,210867,95106,143435
3,210867,95106,143435
