Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,0,58072,208935
-19,1117,105043,372511
-18,1117,105043,372511
-17,1148,105043,372511
-16,1148,174776,628909
-15,1148,231227,788694
-14,1148,289751,949386
-13,1149,352566,1096908
-12,1191,416766,1238162
-11,1196,416766,1238162
-10,1198,416766,1238162
-9,1198,527954,1483653
-8,1204,599593,1630625
-7,1204,676153,1781581
-6,1204,757213,1931269
-5,2273087,865772,2092041
-4,2273087,865772,2092041
-3,2273087,865772,2092041
-2,2273087,865772,2092041
-1,2273087,865772,2092041
0,2273087,865772,2092041
1,2273087,865772,2092041
2,2273087,865772,2092041
3,2273087,865772,2092041
