Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,534,1113,82
-36,1573,2606,231
-35,1987,3481,341
-34,3483,5406,575
-33,4881,7360,834
-32,7245,9523,1131
-31,8028,9982,1264
-30,8061,10074,1269
-29,12382,14563,1924
-28,18063,18108,2579
-27,21560,21911,3122
-26,29588,27638,4186
-25,35702,32618,5044
-24,38771,34066,5492
-23,39012,34372,5536
-22,42540,36961,6091
-21,50016,43740,7190
-20,58715,49788,8653
-19,67356,56470,10067
-18,75249,62813,11424
-17,79680,65848,12236
-16,80023,66535,12348
-15,424987,561609,94026
-14,731341,1030195,176184
-13,1023143,1477579,263281
-12,1291763,1886400,350958
-11,1584543,2314687,455241
-10,1823129,2604201,539226
-9,1942319,2743400,583307
-8,2197893,3100909,682437
-7,2438461,3413552,777160
-6,2671717,3687912,872132
-5,2895878,3937540,965850
-4,3230618,4290693,1114904
-3,3230618,4290693,1114904
-2,3230618,4290693,1114904
-1,3230618,4290693,1114904
0,3230618,4290693,1114904
1,3230618,4290693,1114904
2,3230618,4290693,1114904
3,3230618,4290693,1114904
