Days out from election,2020,2022,2024
-48,7,6,0
-47,14,6,0
-46,19,7,0
-45,19,7,0
-44,19,7,0
-43,32,11,0
-42,38,12,0
-41,47,14,0
-40,49,14,0
-39,52,28,41
-38,52,28,41
-37,53,28,41
-36,68,31,46
-35,88,32,48
-34,188,33,48
-33,247,35,51
-32,400,37,51
-31,400,37,51
-30,400,37,51
-29,445,44,52
-28,630,50,70
-27,641,52,309
-26,716,57,388
-25,923,59,441
-24,923,59,441
-23,923,59,441
-22,1051,64,452
-21,1161,120,709
-20,1213,127,848
-19,9021,3464,2793
-18,29227,7256,12742
-17,59346,7256,12742
-16,59348,7256,12742
-15,102797,27015,48809
-14,186931,46923,77171
-13,226655,69893,108050
-12,283685,98183,133973
-11,319243,120887,167231
-10,345386,120891,176622
-9,345389,120895,176622
-8,385109,144496,204354
-7,460983,179938,236749
-6,515916,203531,275860
-5,586086,235666,307559
-4,640908,285442,348239
-3,659104,316442,368177
-2,681379,323439,368254
-1,737435,376289,414500
0,737449,376289,414505
1,737449,376289,414505
2,737449,376289,414505
3,737449,376289,414505
