Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,30,11,0
-38,30,11,0
-37,30,11,0
-36,35,11,0
-35,37,11,0
-34,37,11,0
-33,39,12,0
-32,39,12,0
-31,39,12,0
-30,39,12,0
-29,40,12,0
-28,52,18,0
-27,129,168,12
-26,171,198,19
-25,189,227,25
-24,189,227,25
-23,189,227,25
-22,197,230,25
-21,293,374,42
-20,326,472,50
-19,957,1506,330
-18,3533,7104,2105
-17,3533,7104,2105
-16,3533,7104,2105
-15,14862,25069,8878
-14,23024,39041,15106
-13,31408,56722,19920
-12,38201,70793,24979
-11,47150,90150,29931
-10,50384,92512,33726
-9,50384,92512,33726
-8,57785,108084,38485
-7,67102,124644,45003
-6,77409,146352,52099
-5,85549,164417,57593
-4,96564,187584,64091
-3,101714,197905,68558
-2,101732,197960,68562
-1,114188,223174,77138
0,114189,223177,77139
1,114189,223177,77139
2,114189,223177,77139
3,114189,223177,77139
