Days out from election,2020,2022,2024
-48,18,0,15
-47,25,2,19
-46,30,4,30
-45,30,4,30
-44,31,5,30
-43,53,17,49
-42,82,35,69
-41,132,171,98
-40,206,662,157
-39,543,2053,624
-38,556,2147,773
-37,567,2298,782
-36,4223,6961,3754
-35,7766,12396,7371
-34,14434,21587,11025
-33,20892,28721,15651
-32,27416,34069,19745
-31,28312,34227,19941
-30,28924,34333,20086
-29,46627,36433,30724
-28,57118,46326,39470
-27,71263,53795,47596
-26,84684,60685,54689
-25,95096,64957,59877
-24,96209,65201,60135
-23,96771,65342,60435
-22,100527,72785,62028
-21,117396,79705,73957
-20,128326,83885,81310
-19,140925,88693,91030
-18,148540,92301,97489
-17,150526,92504,97733
-16,150881,92667,97975
-15,166006,100760,110497
-14,172793,107039,119344
-13,182001,112445,126796
-12,190642,117256,134961
-11,197828,121240,140488
-10,199419,121542,140777
-9,200107,121727,141476
-8,215621,132221,154193
-7,226402,140329,164590
-6,234855,147653,174311
-5,242074,154977,183966
-4,248914,159973,191433
-3,250420,160782,192659
-2,251471,162180,194238
-1,251511,180121,214349
0,251511,186928,215915
1,251511,186932,215915
2,251511,186945,215915
3,251511,186945,215921
