Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,2,0,4236
-28,3,0,4944
-27,3,0,5603
-26,3,0,6147
-25,3,0,6607
-24,3,0,6607
-23,3,0,6607
-22,3,0,6607
-21,3,2469,7143
-20,4,2469,7856
-19,5,3009,8656
-18,5,3329,9475
-17,5,3329,9475
-16,5,3329,9475
-15,5,3638,9986
-14,5,4270,11062
-13,7,4829,26105
-12,7,14154,50782
-11,8,25261,53014
-10,8,25261,54382
-9,8,25261,101957
-8,11,45013,153532
-7,14,56928,181466
-6,15,68649,213465
-5,19,79439,238195
-4,23,91821,239276
-3,26,91821,239276
-2,26,91821,309832
-1,391190,125634,315001
0,391190,127960,316233
1,391190,127960,316703
2,391190,127960,317579
3,391190,127960,317579
