Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,1678,2402,156
-28,1988,2774,182
-27,2259,3138,206
-26,2493,3424,230
-25,2701,3658,248
-24,2701,3658,248
-23,2701,3658,248
-22,2701,3658,248
-21,2900,3979,264
-20,3147,4417,292
-19,3476,4859,321
-18,3788,5344,343
-17,3788,5344,343
-16,3788,5344,343
-15,3994,5625,367
-14,4425,6227,410
-13,8708,16482,915
-12,16594,32419,1769
-11,17270,33903,1841
-10,17619,34893,1870
-9,31148,67220,3589
-8,46116,102002,5414
-7,54188,120910,6368
-6,63696,142044,7725
-5,70609,158925,8661
-4,71025,159533,8718
-3,71025,159533,8718
-2,89313,209006,11513
-1,91124,212160,11717
0,91545,212904,11784
1,91639,213265,11799
2,91952,213778,11849
3,91952,213778,11849
