Days out from election,2020,2022,2024
-48,90,799,271
-47,562,1374,502
-46,3134,2283,953
-45,3805,2511,1091
-44,4283,2520,1113
-43,43948,9442,8324
-42,79454,14358,13740
-41,133362,26456,29629
-40,181025,39590,45539
-39,225962,48953,58319
-38,236582,49887,60343
-37,252807,52193,60623
-36,323820,69423,91813
-35,362057,74809,102120
-34,407915,86684,119867
-33,448910,99000,133760
-32,483123,107054,145092
-31,490198,108147,146769
-30,500353,108305,147029
-29,557899,112479,172242
-28,586912,129740,183542
-27,622650,137322,202201
-26,653492,152388,215664
-25,682134,161630,229010
-24,688446,163107,230729
-23,691772,163227,231279
-22,722075,187100,243067
-21,763114,197011,272228
-20,789050,213288,284942
-19,825811,226021,307155
-18,856922,237665,325788
-17,864357,239135,328398
-16,867523,239309,328992
-15,918852,261144,362096
-14,1032647,306635,485941
-13,1138936,354094,602098
-12,1227234,395098,718172
-11,1314716,434555,823588
-10,1341724,440220,845520
-9,1350026,441816,850331
-8,1453020,498468,973273
-7,1542408,537957,1083367
-6,1633457,584273,1188680
-5,1723649,631294,1289784
-4,1829199,689236,1416017
-3,1847026,698735,1433995
-2,1855435,700275,1441192
-1,1882072,716687,1459490
0,1882114,716687,1472748
1,1882114,716687,1472748
2,1882114,716687,1472748
3,1882114,716687,1472768
