Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,3,0
-45,0,3,0
-44,0,3,0
-43,2,8,0
-42,2,8,0
-41,4,11,0
-40,10,12,0
-39,11,13,6
-38,11,13,6
-37,11,13,6
-36,22,22,16
-35,31,29,22
-34,33,30,24
-33,42,40,26
-32,55,44,32
-31,55,44,32
-30,55,44,32
-29,82,61,37
-28,712,1721,345
-27,1211,3123,609
-26,1734,4695,849
-25,2660,7003,1224
-24,2688,7167,1235
-23,2688,7167,1235
-22,3033,7881,1385
-21,4491,11863,2035
-20,5532,14840,2530
-19,6662,18271,3050
-18,7747,21298,3597
-17,7747,21298,3597
-16,7802,21452,3645
-15,9383,25720,4352
-14,10645,28811,5022
-13,11749,32399,5668
-12,12778,35634,6257
-11,13955,39320,6944
-10,13955,39320,6944
-9,13955,39320,6944
-8,15549,43852,7867
-7,16776,47144,8564
-6,17948,50461,9228
-5,19148,53824,9912
-4,20692,58057,10851
-3,20708,58057,10851
-2,20770,58072,10862
-1,22220,62095,11903
0,22228,62117,11906
1,22228,62117,11906
2,22228,62117,11906
3,22228,62117,11906
