Category: All categories

Day,FiveThirtyEight: (Alabama)
2024-09-18,0
2024-09-19,18
2024-09-20,24
2024-09-21,0
2024-09-22,20
2024-09-23,26
2024-09-24,15
2024-09-25,0
2024-09-26,18
2024-09-27,13
2024-09-28,0
2024-09-29,0
2024-09-30,13
2024-10-01,14
2024-10-02,16
2024-10-03,17
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,14
2024-10-08,12
2024-10-09,19
2024-10-10,20
2024-10-11,21
2024-10-12,15
2024-10-13,0
2024-10-14,14
2024-10-15,25
2024-10-16,33
2024-10-17,23
2024-10-18,21
2024-10-19,21
2024-10-20,24
2024-10-21,35
2024-10-22,24
2024-10-23,30
2024-10-24,23
2024-10-25,37
2024-10-26,17
2024-10-27,23
2024-10-28,35
2024-10-29,28
2024-10-30,44
2024-10-31,36
2024-11-01,35
2024-11-02,48
2024-11-03,55
2024-11-04,66
2024-11-05,100
