Category: All categories

Day,FiveThirtyEight: (Arizona)
2024-09-18,27
2024-09-19,30
2024-09-20,21
2024-09-21,25
2024-09-22,20
2024-09-23,37
2024-09-24,28
2024-09-25,20
2024-09-26,23
2024-09-27,19
2024-09-28,24
2024-09-29,21
2024-09-30,25
2024-10-01,23
2024-10-02,27
2024-10-03,28
2024-10-04,22
2024-10-05,28
2024-10-06,21
2024-10-07,25
2024-10-08,24
2024-10-09,25
2024-10-10,24
2024-10-11,26
2024-10-12,24
2024-10-13,25
2024-10-14,21
2024-10-15,26
2024-10-16,27
2024-10-17,31
2024-10-18,36
2024-10-19,25
2024-10-20,27
2024-10-21,41
2024-10-22,39
2024-10-23,27
2024-10-24,38
2024-10-25,41
2024-10-26,30
2024-10-27,32
2024-10-28,35
2024-10-29,46
2024-10-30,51
2024-10-31,42
2024-11-01,45
2024-11-02,41
2024-11-03,60
2024-11-04,68
2024-11-05,100
