Category: All categories

Day,FiveThirtyEight: (Arkansas)
2024-09-18,0
2024-09-19,0
2024-09-20,22
2024-09-21,0
2024-09-22,0
2024-09-23,0
2024-09-24,20
2024-09-25,0
2024-09-26,21
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,0
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,0
2024-10-08,0
2024-10-09,0
2024-10-10,0
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-15,27
2024-10-16,0
2024-10-17,0
2024-10-18,36
2024-10-19,29
2024-10-20,0
2024-10-21,22
2024-10-22,21
2024-10-23,0
2024-10-24,0
2024-10-25,33
2024-10-26,0
2024-10-27,35
2024-10-28,32
2024-10-29,38
2024-10-30,30
2024-10-31,32
2024-11-01,23
2024-11-02,0
2024-11-03,63
2024-11-04,76
2024-11-05,100
