Category: All categories

Day,FiveThirtyEight: (California)
2024-09-18,23
2024-09-19,26
2024-09-20,22
2024-09-21,20
2024-09-22,18
2024-09-23,24
2024-09-24,20
2024-09-25,20
2024-09-26,19
2024-09-27,20
2024-09-28,16
2024-09-29,15
2024-09-30,19
2024-10-01,17
2024-10-02,21
2024-10-03,19
2024-10-04,18
2024-10-05,16
2024-10-06,15
2024-10-07,18
2024-10-08,22
2024-10-09,21
2024-10-10,21
2024-10-11,20
2024-10-12,18
2024-10-13,19
2024-10-14,21
2024-10-15,22
2024-10-16,25
2024-10-17,24
2024-10-18,24
2024-10-19,22
2024-10-20,22
2024-10-21,29
2024-10-22,28
2024-10-23,28
2024-10-24,28
2024-10-25,29
2024-10-26,24
2024-10-27,25
2024-10-28,33
2024-10-29,33
2024-10-30,39
2024-10-31,37
2024-11-01,42
2024-11-02,39
2024-11-03,52
2024-11-04,62
2024-11-05,100
