Category: All categories

Day,FiveThirtyEight: (Colorado)
2024-09-18,25
2024-09-19,27
2024-09-20,24
2024-09-21,15
2024-09-22,19
2024-09-23,26
2024-09-24,25
2024-09-25,20
2024-09-26,21
2024-09-27,22
2024-09-28,21
2024-09-29,18
2024-09-30,19
2024-10-01,17
2024-10-02,22
2024-10-03,21
2024-10-04,16
2024-10-05,16
2024-10-06,15
2024-10-07,21
2024-10-08,26
2024-10-09,21
2024-10-10,26
2024-10-11,23
2024-10-12,20
2024-10-13,16
2024-10-14,25
2024-10-15,27
2024-10-16,21
2024-10-17,33
2024-10-18,30
2024-10-19,21
2024-10-20,23
2024-10-21,34
2024-10-22,29
2024-10-23,35
2024-10-24,37
2024-10-25,31
2024-10-26,29
2024-10-27,25
2024-10-28,33
2024-10-29,36
2024-10-30,38
2024-10-31,45
2024-11-01,42
2024-11-02,41
2024-11-03,52
2024-11-04,67
2024-11-05,100
