Category: All categories

Day,FiveThirtyEight: (Connecticut)
2024-09-18,34
2024-09-19,29
2024-09-20,22
2024-09-21,25
2024-09-22,17
2024-09-23,24
2024-09-24,19
2024-09-25,19
2024-09-26,21
2024-09-27,22
2024-09-28,14
2024-09-29,17
2024-09-30,25
2024-10-01,21
2024-10-02,24
2024-10-03,29
2024-10-04,21
2024-10-05,9
2024-10-06,18
2024-10-07,22
2024-10-08,21
2024-10-09,20
2024-10-10,18
2024-10-11,18
2024-10-12,23
2024-10-13,26
2024-10-14,22
2024-10-15,24
2024-10-16,22
2024-10-17,27
2024-10-18,25
2024-10-19,17
2024-10-20,22
2024-10-21,32
2024-10-22,30
2024-10-23,29
2024-10-24,32
2024-10-25,37
2024-10-26,22
2024-10-27,23
2024-10-28,48
2024-10-29,41
2024-10-30,47
2024-10-31,47
2024-11-01,50
2024-11-02,52
2024-11-03,68
2024-11-04,73
2024-11-05,100
