Category: All categories

Day,FiveThirtyEight: (Florida)
2024-09-18,27
2024-09-19,29
2024-09-20,29
2024-09-21,21
2024-09-22,22
2024-09-23,31
2024-09-24,24
2024-09-25,22
2024-09-26,21
2024-09-27,25
2024-09-28,20
2024-09-29,18
2024-09-30,19
2024-10-01,20
2024-10-02,27
2024-10-03,27
2024-10-04,25
2024-10-05,20
2024-10-06,15
2024-10-07,20
2024-10-08,22
2024-10-09,22
2024-10-10,20
2024-10-11,24
2024-10-12,20
2024-10-13,23
2024-10-14,20
2024-10-15,25
2024-10-16,28
2024-10-17,28
2024-10-18,29
2024-10-19,26
2024-10-20,29
2024-10-21,33
2024-10-22,39
2024-10-23,37
2024-10-24,47
2024-10-25,40
2024-10-26,33
2024-10-27,36
2024-10-28,44
2024-10-29,53
2024-10-30,52
2024-10-31,57
2024-11-01,56
2024-11-02,55
2024-11-03,78
2024-11-04,84
2024-11-05,100
