Category: All categories

Day,FiveThirtyEight: (Georgia)
2024-09-18,22
2024-09-19,24
2024-09-20,22
2024-09-21,19
2024-09-22,25
2024-09-23,24
2024-09-24,20
2024-09-25,18
2024-09-26,16
2024-09-27,20
2024-09-28,17
2024-09-29,12
2024-09-30,16
2024-10-01,21
2024-10-02,19
2024-10-03,22
2024-10-04,16
2024-10-05,17
2024-10-06,18
2024-10-07,19
2024-10-08,22
2024-10-09,20
2024-10-10,19
2024-10-11,18
2024-10-12,19
2024-10-13,14
2024-10-14,20
2024-10-15,25
2024-10-16,28
2024-10-17,27
2024-10-18,26
2024-10-19,25
2024-10-20,22
2024-10-21,33
2024-10-22,34
2024-10-23,34
2024-10-24,41
2024-10-25,35
2024-10-26,25
2024-10-27,29
2024-10-28,36
2024-10-29,40
2024-10-30,46
2024-10-31,45
2024-11-01,52
2024-11-02,41
2024-11-03,57
2024-11-04,71
2024-11-05,100
