Category: All categories

Day,FiveThirtyEight: (Illinois)
2024-09-18,23
2024-09-19,30
2024-09-20,25
2024-09-21,20
2024-09-22,21
2024-09-23,28
2024-09-24,23
2024-09-25,21
2024-09-26,23
2024-09-27,18
2024-09-28,18
2024-09-29,17
2024-09-30,21
2024-10-01,20
2024-10-02,28
2024-10-03,19
2024-10-04,24
2024-10-05,15
2024-10-06,18
2024-10-07,23
2024-10-08,22
2024-10-09,24
2024-10-10,25
2024-10-11,24
2024-10-12,20
2024-10-13,20
2024-10-14,29
2024-10-15,23
2024-10-16,30
2024-10-17,30
2024-10-18,25
2024-10-19,25
2024-10-20,27
2024-10-21,35
2024-10-22,34
2024-10-23,33
2024-10-24,34
2024-10-25,39
2024-10-26,30
2024-10-27,30
2024-10-28,38
2024-10-29,47
2024-10-30,53
2024-10-31,52
2024-11-01,57
2024-11-02,51
2024-11-03,72
2024-11-04,72
2024-11-05,100
