Category: All categories

Day,FiveThirtyEight: (Indiana)
2024-09-18,22
2024-09-19,33
2024-09-20,26
2024-09-21,13
2024-09-22,27
2024-09-23,27
2024-09-24,22
2024-09-25,21
2024-09-26,14
2024-09-27,17
2024-09-28,17
2024-09-29,10
2024-09-30,22
2024-10-01,20
2024-10-02,22
2024-10-03,19
2024-10-04,16
2024-10-05,16
2024-10-06,16
2024-10-07,19
2024-10-08,25
2024-10-09,27
2024-10-10,22
2024-10-11,20
2024-10-12,25
2024-10-13,14
2024-10-14,22
2024-10-15,24
2024-10-16,27
2024-10-17,28
2024-10-18,24
2024-10-19,23
2024-10-20,19
2024-10-21,25
2024-10-22,38
2024-10-23,33
2024-10-24,38
2024-10-25,31
2024-10-26,25
2024-10-27,29
2024-10-28,40
2024-10-29,44
2024-10-30,48
2024-10-31,43
2024-11-01,52
2024-11-02,41
2024-11-03,54
2024-11-04,79
2024-11-05,100
