Category: All categories

Day,FiveThirtyEight: (Iowa)
2024-09-18,36
2024-09-19,31
2024-09-20,15
2024-09-21,23
2024-09-22,22
2024-09-23,33
2024-09-24,29
2024-09-25,24
2024-09-26,27
2024-09-27,14
2024-09-28,23
2024-09-29,22
2024-09-30,22
2024-10-01,22
2024-10-02,25
2024-10-03,15
2024-10-04,26
2024-10-05,0
2024-10-06,0
2024-10-07,24
2024-10-08,31
2024-10-09,22
2024-10-10,20
2024-10-11,19
2024-10-12,0
2024-10-13,26
2024-10-14,29
2024-10-15,28
2024-10-16,25
2024-10-17,31
2024-10-18,28
2024-10-19,30
2024-10-20,19
2024-10-21,25
2024-10-22,38
2024-10-23,27
2024-10-24,39
2024-10-25,50
2024-10-26,33
2024-10-27,30
2024-10-28,46
2024-10-29,46
2024-10-30,43
2024-10-31,50
2024-11-01,39
2024-11-02,65
2024-11-03,97
2024-11-04,72
2024-11-05,100
