Category: All categories

Day,FiveThirtyEight: (Kansas)
2024-09-18,29
2024-09-19,40
2024-09-20,37
2024-09-21,0
2024-09-22,0
2024-09-23,33
2024-09-24,25
2024-09-25,16
2024-09-26,20
2024-09-27,23
2024-09-28,0
2024-09-29,27
2024-09-30,22
2024-10-01,16
2024-10-02,24
2024-10-03,25
2024-10-04,17
2024-10-05,0
2024-10-06,0
2024-10-07,23
2024-10-08,29
2024-10-09,20
2024-10-10,29
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,21
2024-10-15,18
2024-10-16,26
2024-10-17,33
2024-10-18,34
2024-10-19,20
2024-10-20,24
2024-10-21,40
2024-10-22,36
2024-10-23,42
2024-10-24,40
2024-10-25,26
2024-10-26,28
2024-10-27,35
2024-10-28,38
2024-10-29,47
2024-10-30,46
2024-10-31,46
2024-11-01,52
2024-11-02,23
2024-11-03,77
2024-11-04,85
2024-11-05,100
