Category: All categories

Day,FiveThirtyEight: (Kentucky)
2024-09-18,23
2024-09-19,33
2024-09-20,19
2024-09-21,25
2024-09-22,28
2024-09-23,28
2024-09-24,17
2024-09-25,19
2024-09-26,27
2024-09-27,23
2024-09-28,18
2024-09-29,0
2024-09-30,18
2024-10-01,30
2024-10-02,28
2024-10-03,21
2024-10-04,21
2024-10-05,41
2024-10-06,27
2024-10-07,30
2024-10-08,36
2024-10-09,26
2024-10-10,44
2024-10-11,36
2024-10-12,18
2024-10-13,22
2024-10-14,24
2024-10-15,30
2024-10-16,28
2024-10-17,27
2024-10-18,35
2024-10-19,26
2024-10-20,36
2024-10-21,37
2024-10-22,46
2024-10-23,44
2024-10-24,42
2024-10-25,32
2024-10-26,31
2024-10-27,35
2024-10-28,30
2024-10-29,55
2024-10-30,57
2024-10-31,57
2024-11-01,50
2024-11-02,58
2024-11-03,80
2024-11-04,83
2024-11-05,100
