Category: All categories

Day,FiveThirtyEight: (Louisiana)
2024-09-18,22
2024-09-19,0
2024-09-20,21
2024-09-21,0
2024-09-22,0
2024-09-23,28
2024-09-24,0
2024-09-25,0
2024-09-26,0
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,0
2024-10-01,0
2024-10-02,23
2024-10-03,0
2024-10-04,0
2024-10-05,46
2024-10-06,0
2024-10-07,27
2024-10-08,20
2024-10-09,28
2024-10-10,0
2024-10-11,29
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-15,35
2024-10-16,26
2024-10-17,23
2024-10-18,35
2024-10-19,35
2024-10-20,0
2024-10-21,32
2024-10-22,37
2024-10-23,41
2024-10-24,40
2024-10-25,26
2024-10-26,0
2024-10-27,25
2024-10-28,54
2024-10-29,53
2024-10-30,49
2024-10-31,42
2024-11-01,55
2024-11-02,36
2024-11-03,69
2024-11-04,84
2024-11-05,100
