Category: All categories

Day,FiveThirtyEight: (Maine)
2024-09-18,38
2024-09-19,38
2024-09-20,20
2024-09-21,0
2024-09-22,36
2024-09-23,27
2024-09-24,37
2024-09-25,0
2024-09-26,32
2024-09-27,22
2024-09-28,0
2024-09-29,0
2024-09-30,0
2024-10-01,20
2024-10-02,29
2024-10-03,0
2024-10-04,25
2024-10-05,24
2024-10-06,0
2024-10-07,21
2024-10-08,36
2024-10-09,29
2024-10-10,44
2024-10-11,42
2024-10-12,25
2024-10-13,32
2024-10-14,36
2024-10-15,26
2024-10-16,39
2024-10-17,28
2024-10-18,32
2024-10-19,0
2024-10-20,37
2024-10-21,62
2024-10-22,46
2024-10-23,50
2024-10-24,69
2024-10-25,0
2024-10-26,51
2024-10-27,46
2024-10-28,47
2024-10-29,54
2024-10-30,48
2024-10-31,46
2024-11-01,63
2024-11-02,67
2024-11-03,54
2024-11-04,100
2024-11-05,82
