Category: All categories

Day,FiveThirtyEight: (Maryland)
2024-09-18,29
2024-09-19,29
2024-09-20,23
2024-09-21,20
2024-09-22,19
2024-09-23,25
2024-09-24,24
2024-09-25,21
2024-09-26,22
2024-09-27,24
2024-09-28,18
2024-09-29,17
2024-09-30,21
2024-10-01,17
2024-10-02,27
2024-10-03,27
2024-10-04,22
2024-10-05,22
2024-10-06,18
2024-10-07,22
2024-10-08,27
2024-10-09,24
2024-10-10,25
2024-10-11,18
2024-10-12,17
2024-10-13,23
2024-10-14,25
2024-10-15,22
2024-10-16,32
2024-10-17,31
2024-10-18,38
2024-10-19,22
2024-10-20,25
2024-10-21,36
2024-10-22,33
2024-10-23,42
2024-10-24,37
2024-10-25,34
2024-10-26,35
2024-10-27,32
2024-10-28,47
2024-10-29,48
2024-10-30,54
2024-10-31,57
2024-11-01,50
2024-11-02,51
2024-11-03,62
2024-11-04,68
2024-11-05,100
