Category: All categories

Day,FiveThirtyEight: (Massachusetts)
2024-09-18,25
2024-09-19,26
2024-09-20,24
2024-09-21,20
2024-09-22,21
2024-09-23,24
2024-09-24,21
2024-09-25,26
2024-09-26,19
2024-09-27,20
2024-09-28,20
2024-09-29,16
2024-09-30,22
2024-10-01,18
2024-10-02,28
2024-10-03,23
2024-10-04,22
2024-10-05,19
2024-10-06,17
2024-10-07,25
2024-10-08,26
2024-10-09,21
2024-10-10,25
2024-10-11,22
2024-10-12,18
2024-10-13,19
2024-10-14,24
2024-10-15,23
2024-10-16,29
2024-10-17,26
2024-10-18,31
2024-10-19,27
2024-10-20,21
2024-10-21,31
2024-10-22,32
2024-10-23,33
2024-10-24,30
2024-10-25,29
2024-10-26,25
2024-10-27,29
2024-10-28,35
2024-10-29,40
2024-10-30,43
2024-10-31,48
2024-11-01,49
2024-11-02,42
2024-11-03,60
2024-11-04,68
2024-11-05,100
