Category: All categories

Day,FiveThirtyEight: (Michigan)
2024-09-18,28
2024-09-19,37
2024-09-20,25
2024-09-21,22
2024-09-22,26
2024-09-23,30
2024-09-24,24
2024-09-25,25
2024-09-26,19
2024-09-27,23
2024-09-28,20
2024-09-29,21
2024-09-30,23
2024-10-01,17
2024-10-02,25
2024-10-03,25
2024-10-04,24
2024-10-05,19
2024-10-06,19
2024-10-07,23
2024-10-08,28
2024-10-09,24
2024-10-10,25
2024-10-11,25
2024-10-12,25
2024-10-13,16
2024-10-14,25
2024-10-15,25
2024-10-16,34
2024-10-17,26
2024-10-18,37
2024-10-19,28
2024-10-20,29
2024-10-21,38
2024-10-22,34
2024-10-23,42
2024-10-24,35
2024-10-25,37
2024-10-26,29
2024-10-27,30
2024-10-28,45
2024-10-29,51
2024-10-30,50
2024-10-31,50
2024-11-01,48
2024-11-02,53
2024-11-03,70
2024-11-04,86
2024-11-05,100
