Category: All categories

Day,FiveThirtyEight: (Minnesota)
2024-09-18,31
2024-09-19,30
2024-09-20,27
2024-09-21,18
2024-09-22,21
2024-09-23,29
2024-09-24,22
2024-09-25,24
2024-09-26,22
2024-09-27,21
2024-09-28,20
2024-09-29,20
2024-09-30,32
2024-10-01,26
2024-10-02,34
2024-10-03,28
2024-10-04,22
2024-10-05,22
2024-10-06,20
2024-10-07,28
2024-10-08,30
2024-10-09,29
2024-10-10,31
2024-10-11,25
2024-10-12,22
2024-10-13,14
2024-10-14,28
2024-10-15,25
2024-10-16,30
2024-10-17,31
2024-10-18,36
2024-10-19,26
2024-10-20,27
2024-10-21,35
2024-10-22,44
2024-10-23,38
2024-10-24,35
2024-10-25,34
2024-10-26,30
2024-10-27,24
2024-10-28,44
2024-10-29,49
2024-10-30,56
2024-10-31,50
2024-11-01,40
2024-11-02,45
2024-11-03,63
2024-11-04,80
2024-11-05,100
