Category: All categories

Day,FiveThirtyEight: (Missouri)
2024-09-18,29
2024-09-19,27
2024-09-20,25
2024-09-21,16
2024-09-22,23
2024-09-23,26
2024-09-24,24
2024-09-25,18
2024-09-26,18
2024-09-27,25
2024-09-28,17
2024-09-29,0
2024-09-30,19
2024-10-01,16
2024-10-02,32
2024-10-03,21
2024-10-04,23
2024-10-05,18
2024-10-06,13
2024-10-07,19
2024-10-08,23
2024-10-09,22
2024-10-10,21
2024-10-11,19
2024-10-12,19
2024-10-13,17
2024-10-14,22
2024-10-15,24
2024-10-16,25
2024-10-17,28
2024-10-18,25
2024-10-19,31
2024-10-20,23
2024-10-21,29
2024-10-22,42
2024-10-23,32
2024-10-24,39
2024-10-25,39
2024-10-26,32
2024-10-27,22
2024-10-28,38
2024-10-29,47
2024-10-30,48
2024-10-31,51
2024-11-01,51
2024-11-02,49
2024-11-03,65
2024-11-04,79
2024-11-05,100
