Category: All categories

Day,FiveThirtyEight: (Nebraska)
2024-09-18,38
2024-09-19,0
2024-09-20,33
2024-09-21,0
2024-09-22,31
2024-09-23,29
2024-09-24,30
2024-09-25,32
2024-09-26,0
2024-09-27,0
2024-09-28,33
2024-09-29,0
2024-09-30,0
2024-10-01,0
2024-10-02,38
2024-10-03,39
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,55
2024-10-08,0
2024-10-09,33
2024-10-10,33
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,31
2024-10-15,0
2024-10-16,45
2024-10-17,0
2024-10-18,43
2024-10-19,37
2024-10-20,0
2024-10-21,34
2024-10-22,56
2024-10-23,40
2024-10-24,37
2024-10-25,44
2024-10-26,0
2024-10-27,43
2024-10-28,45
2024-10-29,38
2024-10-30,51
2024-10-31,80
2024-11-01,89
2024-11-02,47
2024-11-03,77
2024-11-04,79
2024-11-05,100
