Category: All categories

Day,FiveThirtyEight: (New Hampshire)
2024-09-18,0
2024-09-19,27
2024-09-20,0
2024-09-21,0
2024-09-22,0
2024-09-23,25
2024-09-24,0
2024-09-25,30
2024-09-26,16
2024-09-27,19
2024-09-28,0
2024-09-29,23
2024-09-30,25
2024-10-01,0
2024-10-02,25
2024-10-03,30
2024-10-04,24
2024-10-05,0
2024-10-06,25
2024-10-07,31
2024-10-08,19
2024-10-09,0
2024-10-10,26
2024-10-11,28
2024-10-12,0
2024-10-13,0
2024-10-14,33
2024-10-15,30
2024-10-16,32
2024-10-17,30
2024-10-18,29
2024-10-19,0
2024-10-20,27
2024-10-21,28
2024-10-22,39
2024-10-23,23
2024-10-24,33
2024-10-25,41
2024-10-26,31
2024-10-27,34
2024-10-28,39
2024-10-29,41
2024-10-30,36
2024-10-31,57
2024-11-01,40
2024-11-02,45
2024-11-03,67
2024-11-04,83
2024-11-05,100
