Category: All categories

Day,FiveThirtyEight: (New Jersey)
2024-09-18,18
2024-09-19,23
2024-09-20,20
2024-09-21,20
2024-09-22,16
2024-09-23,22
2024-09-24,21
2024-09-25,18
2024-09-26,14
2024-09-27,15
2024-09-28,16
2024-09-29,16
2024-09-30,18
2024-10-01,21
2024-10-02,17
2024-10-03,16
2024-10-04,20
2024-10-05,15
2024-10-06,16
2024-10-07,18
2024-10-08,15
2024-10-09,20
2024-10-10,17
2024-10-11,20
2024-10-12,21
2024-10-13,17
2024-10-14,22
2024-10-15,24
2024-10-16,21
2024-10-17,24
2024-10-18,26
2024-10-19,24
2024-10-20,27
2024-10-21,32
2024-10-22,28
2024-10-23,29
2024-10-24,27
2024-10-25,34
2024-10-26,24
2024-10-27,29
2024-10-28,34
2024-10-29,41
2024-10-30,39
2024-10-31,38
2024-11-01,44
2024-11-02,44
2024-11-03,59
2024-11-04,70
2024-11-05,100
