Category: All categories

Day,FiveThirtyEight: (New Mexico)
2024-09-18,45
2024-09-19,45
2024-09-20,37
2024-09-21,0
2024-09-22,0
2024-09-23,41
2024-09-24,0
2024-09-25,41
2024-09-26,30
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,25
2024-10-01,33
2024-10-02,24
2024-10-03,31
2024-10-04,29
2024-10-05,0
2024-10-06,0
2024-10-07,26
2024-10-08,0
2024-10-09,32
2024-10-10,44
2024-10-11,37
2024-10-12,0
2024-10-13,0
2024-10-14,27
2024-10-15,28
2024-10-16,36
2024-10-17,0
2024-10-18,39
2024-10-19,0
2024-10-20,31
2024-10-21,43
2024-10-22,54
2024-10-23,40
2024-10-24,23
2024-10-25,26
2024-10-26,43
2024-10-27,42
2024-10-28,29
2024-10-29,55
2024-10-30,35
2024-10-31,66
2024-11-01,62
2024-11-02,60
2024-11-03,63
2024-11-04,73
2024-11-05,100
