Category: All categories

Day,FiveThirtyEight: (New York)
2024-09-18,24
2024-09-19,25
2024-09-20,22
2024-09-21,16
2024-09-22,19
2024-09-23,24
2024-09-24,22
2024-09-25,21
2024-09-26,16
2024-09-27,19
2024-09-28,14
2024-09-29,15
2024-09-30,20
2024-10-01,16
2024-10-02,15
2024-10-03,18
2024-10-04,20
2024-10-05,12
2024-10-06,16
2024-10-07,22
2024-10-08,22
2024-10-09,19
2024-10-10,22
2024-10-11,21
2024-10-12,15
2024-10-13,19
2024-10-14,20
2024-10-15,21
2024-10-16,25
2024-10-17,26
2024-10-18,28
2024-10-19,20
2024-10-20,24
2024-10-21,31
2024-10-22,31
2024-10-23,32
2024-10-24,33
2024-10-25,32
2024-10-26,20
2024-10-27,27
2024-10-28,40
2024-10-29,39
2024-10-30,42
2024-10-31,41
2024-11-01,35
2024-11-02,31
2024-11-03,43
2024-11-04,71
2024-11-05,100
