Category: All categories

Day,FiveThirtyEight: (North Carolina)
2024-09-18,28
2024-09-19,25
2024-09-20,19
2024-09-21,26
2024-09-22,20
2024-09-23,24
2024-09-24,25
2024-09-25,23
2024-09-26,19
2024-09-27,20
2024-09-28,19
2024-09-29,17
2024-09-30,19
2024-10-01,21
2024-10-02,25
2024-10-03,19
2024-10-04,21
2024-10-05,14
2024-10-06,14
2024-10-07,19
2024-10-08,22
2024-10-09,22
2024-10-10,21
2024-10-11,22
2024-10-12,20
2024-10-13,21
2024-10-14,26
2024-10-15,21
2024-10-16,25
2024-10-17,22
2024-10-18,26
2024-10-19,31
2024-10-20,31
2024-10-21,37
2024-10-22,37
2024-10-23,38
2024-10-24,38
2024-10-25,43
2024-10-26,28
2024-10-27,27
2024-10-28,43
2024-10-29,46
2024-10-30,55
2024-10-31,50
2024-11-01,46
2024-11-02,50
2024-11-03,67
2024-11-04,80
2024-11-05,100
