Category: All categories

Day,FiveThirtyEight: (Ohio)
2024-09-18,24
2024-09-19,25
2024-09-20,27
2024-09-21,15
2024-09-22,17
2024-09-23,21
2024-09-24,19
2024-09-25,24
2024-09-26,17
2024-09-27,18
2024-09-28,14
2024-09-29,12
2024-09-30,23
2024-10-01,15
2024-10-02,23
2024-10-03,19
2024-10-04,18
2024-10-05,12
2024-10-06,18
2024-10-07,21
2024-10-08,21
2024-10-09,21
2024-10-10,22
2024-10-11,20
2024-10-12,22
2024-10-13,15
2024-10-14,24
2024-10-15,23
2024-10-16,25
2024-10-17,27
2024-10-18,23
2024-10-19,30
2024-10-20,20
2024-10-21,31
2024-10-22,34
2024-10-23,32
2024-10-24,35
2024-10-25,34
2024-10-26,29
2024-10-27,25
2024-10-28,40
2024-10-29,37
2024-10-30,44
2024-10-31,45
2024-11-01,50
2024-11-02,42
2024-11-03,54
2024-11-04,73
2024-11-05,100
