Category: All categories

Day,FiveThirtyEight: (Oklahoma)
2024-09-18,26
2024-09-19,0
2024-09-20,27
2024-09-21,0
2024-09-22,0
2024-09-23,26
2024-09-24,0
2024-09-25,23
2024-09-26,0
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,24
2024-10-01,25
2024-10-02,37
2024-10-03,21
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,22
2024-10-08,0
2024-10-09,21
2024-10-10,25
2024-10-11,27
2024-10-12,24
2024-10-13,0
2024-10-14,0
2024-10-15,0
2024-10-16,39
2024-10-17,25
2024-10-18,27
2024-10-19,0
2024-10-20,39
2024-10-21,43
2024-10-22,41
2024-10-23,19
2024-10-24,41
2024-10-25,27
2024-10-26,0
2024-10-27,0
2024-10-28,30
2024-10-29,41
2024-10-30,41
2024-10-31,53
2024-11-01,53
2024-11-02,40
2024-11-03,53
2024-11-04,68
2024-11-05,100
