Category: All categories

Day,FiveThirtyEight: (Oregon)
2024-09-18,27
2024-09-19,28
2024-09-20,24
2024-09-21,17
2024-09-22,21
2024-09-23,25
2024-09-24,18
2024-09-25,19
2024-09-26,20
2024-09-27,24
2024-09-28,19
2024-09-29,18
2024-09-30,21
2024-10-01,21
2024-10-02,26
2024-10-03,19
2024-10-04,21
2024-10-05,16
2024-10-06,14
2024-10-07,24
2024-10-08,31
2024-10-09,21
2024-10-10,22
2024-10-11,19
2024-10-12,24
2024-10-13,23
2024-10-14,26
2024-10-15,26
2024-10-16,27
2024-10-17,29
2024-10-18,20
2024-10-19,23
2024-10-20,23
2024-10-21,33
2024-10-22,32
2024-10-23,28
2024-10-24,35
2024-10-25,38
2024-10-26,21
2024-10-27,24
2024-10-28,34
2024-10-29,41
2024-10-30,37
2024-10-31,37
2024-11-01,35
2024-11-02,37
2024-11-03,54
2024-11-04,63
2024-11-05,100
