Category: All categories

Day,FiveThirtyEight: (Pennsylvania)
2024-09-18,27
2024-09-19,32
2024-09-20,26
2024-09-21,22
2024-09-22,24
2024-09-23,28
2024-09-24,23
2024-09-25,23
2024-09-26,23
2024-09-27,23
2024-09-28,19
2024-09-29,18
2024-09-30,19
2024-10-01,21
2024-10-02,27
2024-10-03,26
2024-10-04,25
2024-10-05,17
2024-10-06,17
2024-10-07,24
2024-10-08,22
2024-10-09,23
2024-10-10,27
2024-10-11,23
2024-10-12,20
2024-10-13,22
2024-10-14,29
2024-10-15,24
2024-10-16,28
2024-10-17,29
2024-10-18,28
2024-10-19,31
2024-10-20,25
2024-10-21,37
2024-10-22,37
2024-10-23,34
2024-10-24,34
2024-10-25,37
2024-10-26,28
2024-10-27,27
2024-10-28,44
2024-10-29,48
2024-10-30,48
2024-10-31,55
2024-11-01,45
2024-11-02,47
2024-11-03,70
2024-11-04,82
2024-11-05,100
