Category: All categories

Day,FiveThirtyEight: (Rhode Island)
2024-09-18,41
2024-09-19,37
2024-09-20,40
2024-09-21,40
2024-09-22,0
2024-09-23,0
2024-09-24,0
2024-09-25,35
2024-09-26,0
2024-09-27,43
2024-09-28,0
2024-09-29,0
2024-09-30,33
2024-10-01,0
2024-10-02,41
2024-10-03,48
2024-10-04,0
2024-10-05,43
2024-10-06,0
2024-10-07,0
2024-10-08,0
2024-10-09,33
2024-10-10,0
2024-10-11,0
2024-10-12,43
2024-10-13,0
2024-10-14,0
2024-10-15,0
2024-10-16,53
2024-10-17,0
2024-10-18,37
2024-10-19,0
2024-10-20,0
2024-10-21,37
2024-10-22,68
2024-10-23,36
2024-10-24,58
2024-10-25,69
2024-10-26,54
2024-10-27,49
2024-10-28,46
2024-10-29,45
2024-10-30,55
2024-10-31,59
2024-11-01,75
2024-11-02,63
2024-11-03,87
2024-11-04,84
2024-11-05,100
