Category: All categories

Day,FiveThirtyEight: (South Carolina)
2024-09-18,30
2024-09-19,34
2024-09-20,29
2024-09-21,21
2024-09-22,20
2024-09-23,22
2024-09-24,25
2024-09-25,28
2024-09-26,20
2024-09-27,12
2024-09-28,22
2024-09-29,0
2024-09-30,19
2024-10-01,24
2024-10-02,21
2024-10-03,22
2024-10-04,21
2024-10-05,13
2024-10-06,18
2024-10-07,18
2024-10-08,33
2024-10-09,23
2024-10-10,23
2024-10-11,31
2024-10-12,16
2024-10-13,15
2024-10-14,26
2024-10-15,30
2024-10-16,25
2024-10-17,21
2024-10-18,35
2024-10-19,0
2024-10-20,35
2024-10-21,35
2024-10-22,35
2024-10-23,30
2024-10-24,28
2024-10-25,29
2024-10-26,20
2024-10-27,32
2024-10-28,49
2024-10-29,50
2024-10-30,48
2024-10-31,52
2024-11-01,48
2024-11-02,24
2024-11-03,74
2024-11-04,83
2024-11-05,100
