Category: All categories

Day,FiveThirtyEight: (Texas)
2024-09-18,19
2024-09-19,21
2024-09-20,21
2024-09-21,15
2024-09-22,16
2024-09-23,20
2024-09-24,18
2024-09-25,16
2024-09-26,16
2024-09-27,18
2024-09-28,12
2024-09-29,16
2024-09-30,17
2024-10-01,14
2024-10-02,19
2024-10-03,17
2024-10-04,18
2024-10-05,13
2024-10-06,12
2024-10-07,15
2024-10-08,21
2024-10-09,19
2024-10-10,19
2024-10-11,18
2024-10-12,15
2024-10-13,16
2024-10-14,19
2024-10-15,19
2024-10-16,24
2024-10-17,23
2024-10-18,22
2024-10-19,22
2024-10-20,22
2024-10-21,29
2024-10-22,30
2024-10-23,30
2024-10-24,35
2024-10-25,33
2024-10-26,28
2024-10-27,28
2024-10-28,37
2024-10-29,39
2024-10-30,42
2024-10-31,42
2024-11-01,37
2024-11-02,34
2024-11-03,59
2024-11-04,60
2024-11-05,100
