Category: All categories

Day,FiveThirtyEight: (Utah)
2024-09-18,22
2024-09-19,22
2024-09-20,17
2024-09-21,28
2024-09-22,14
2024-09-23,17
2024-09-24,21
2024-09-25,25
2024-09-26,0
2024-09-27,19
2024-09-28,17
2024-09-29,20
2024-09-30,22
2024-10-01,12
2024-10-02,16
2024-10-03,21
2024-10-04,19
2024-10-05,19
2024-10-06,21
2024-10-07,22
2024-10-08,16
2024-10-09,18
2024-10-10,19
2024-10-11,20
2024-10-12,16
2024-10-13,15
2024-10-14,20
2024-10-15,24
2024-10-16,27
2024-10-17,33
2024-10-18,36
2024-10-19,18
2024-10-20,15
2024-10-21,32
2024-10-22,31
2024-10-23,27
2024-10-24,42
2024-10-25,29
2024-10-26,34
2024-10-27,27
2024-10-28,31
2024-10-29,35
2024-10-30,45
2024-10-31,49
2024-11-01,57
2024-11-02,40
2024-11-03,65
2024-11-04,89
2024-11-05,100
