Category: All categories

Day,FiveThirtyEight: (Vermont)
2024-09-18,27
2024-09-19,47
2024-09-20,39
2024-09-21,0
2024-09-22,29
2024-09-23,27
2024-09-24,28
2024-09-25,36
2024-09-26,0
2024-09-27,0
2024-09-28,0
2024-09-29,0
2024-09-30,24
2024-10-01,33
2024-10-02,0
2024-10-03,36
2024-10-04,0
2024-10-05,0
2024-10-06,0
2024-10-07,41
2024-10-08,33
2024-10-09,0
2024-10-10,0
2024-10-11,0
2024-10-12,0
2024-10-13,0
2024-10-14,22
2024-10-15,0
2024-10-16,0
2024-10-17,26
2024-10-18,0
2024-10-19,34
2024-10-20,0
2024-10-21,39
2024-10-22,39
2024-10-23,34
2024-10-24,0
2024-10-25,0
2024-10-26,0
2024-10-27,0
2024-10-28,36
2024-10-29,30
2024-10-30,49
2024-10-31,56
2024-11-01,29
2024-11-02,37
2024-11-03,66
2024-11-04,62
2024-11-05,100
