Category: All categories

Day,FiveThirtyEight: (Virginia)
2024-09-18,27
2024-09-19,27
2024-09-20,24
2024-09-21,20
2024-09-22,23
2024-09-23,27
2024-09-24,25
2024-09-25,22
2024-09-26,20
2024-09-27,23
2024-09-28,17
2024-09-29,17
2024-09-30,24
2024-10-01,18
2024-10-02,24
2024-10-03,20
2024-10-04,23
2024-10-05,21
2024-10-06,13
2024-10-07,24
2024-10-08,21
2024-10-09,22
2024-10-10,24
2024-10-11,26
2024-10-12,19
2024-10-13,18
2024-10-14,23
2024-10-15,29
2024-10-16,29
2024-10-17,30
2024-10-18,27
2024-10-19,26
2024-10-20,26
2024-10-21,33
2024-10-22,33
2024-10-23,36
2024-10-24,39
2024-10-25,39
2024-10-26,33
2024-10-27,30
2024-10-28,43
2024-10-29,43
2024-10-30,50
2024-10-31,49
2024-11-01,48
2024-11-02,54
2024-11-03,62
2024-11-04,71
2024-11-05,100
