Category: All categories

Day,FiveThirtyEight: (Washington)
2024-09-18,27
2024-09-19,27
2024-09-20,24
2024-09-21,22
2024-09-22,21
2024-09-23,24
2024-09-24,23
2024-09-25,19
2024-09-26,15
2024-09-27,19
2024-09-28,18
2024-09-29,21
2024-09-30,20
2024-10-01,20
2024-10-02,27
2024-10-03,20
2024-10-04,23
2024-10-05,19
2024-10-06,11
2024-10-07,21
2024-10-08,27
2024-10-09,20
2024-10-10,25
2024-10-11,22
2024-10-12,18
2024-10-13,21
2024-10-14,23
2024-10-15,19
2024-10-16,27
2024-10-17,33
2024-10-18,26
2024-10-19,24
2024-10-20,21
2024-10-21,32
2024-10-22,33
2024-10-23,39
2024-10-24,40
2024-10-25,33
2024-10-26,26
2024-10-27,27
2024-10-28,38
2024-10-29,41
2024-10-30,46
2024-10-31,42
2024-11-01,44
2024-11-02,38
2024-11-03,61
2024-11-04,73
2024-11-05,100
